4776243 0 
4776282 1 
4776292 0 
4776336 1 
4776986 0 
4777104 0 
4777106 1 
4777276 0 
4778153 0 
4778158 1 
4778160 0 
4778163 1 
4778178 0 
4977832 1 
6298405 0 
6298456 1 
6298458 0 
6298466 1 
6298474 0 
6298521 1 
6299100 0 
6299145 0 
6299153 0 
6299223 1 
6299489 0 
6299541 1 
6299598 0 
6299647 1 
6299738 0 
6299878 1 
6299880 0 
6516586 1 
7790913 0 
7790967 0 
7790970 0 
7790990 0 
7791021 1 
7791027 0 
7791031 1 
7791518 0 
7791642 1 
7791720 0 
7791770 0 
7791772 0 
7791782 1 
7791859 0 
7792149 0 
7792352 0 
7792358 0 
7792363 1 
7792416 0 
8004297 1 
9205085 0 
9205134 1 
9205139 0 
9205144 1 
9205150 0 
9205156 0 
9205198 0 
9205200 1 
9205766 0 
9205812 1 
9205854 0 
9205906 0 
9205908 1 
9206124 0 
9206173 1 
9206189 0 
9206199 1 
9206228 0 
9206398 0 
9206412 0 
9206414 1 
9206431 0 
9206438 1 
9206440 0 
9397633 1 
